"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Tuesday, October 18, 2016","Colorado Springs","CO","Norris-Penrose Event Center","","General"
"Tuesday, October 18, 2016","Grand Junction","CO","West Star Aviation, Grand Junction Regional Airport","","General"
"Thursday, October 20, 2016","Delaware","OH","Delaware County Fair","1,500","General"
"Friday, October 21, 2016","Fletcher","NC","WNC Agricultural Center","3,100","General"
"Friday, October 21, 2016","Johnstown","PA","Cambria County War Memorial Arena","4,000","General"
"Friday, October 21, 2016","Newtown Township","PA","Newtown Athletic Club Sports Training Center","4,000","General"
"Saturday, October 22, 2016","Virginia Beach","VA","Library Plaza, Regent University","10,000","General"
"Saturday, October 22, 2016","Cleveland","OH","I-X Center","","General"
"Sunday, October 23, 2016","Naples","FL","Collier County Fairgrounds","12,000","General"
"Monday, October 24, 2016","St. Augustine","FL","St. Augustine Amphitheatre","","General"
"Monday, October 24, 2016","Tampa","FL","MidFlorida Credit Union Amphitheatre",">15,000-28,000","General"
"Tuesday, October 25, 2016","Sanford","FL","Million Air Orlando, Orlando Sanford International Airport","10,000","General"
"Tuesday, October 25, 2016","Tallahassee","FL","Tallahassee Car Museum","","General"
"Wednesday, October 26, 2016","Kinston","NC","Kinston Jet Center, Kinston Regional Jetport","3,100","General"
"Thursday, October 27, 2016","Springfield","OH","Clark County Fairgrounds","5,000","General"
"Thursday, October 27, 2016","Toledo","OH","SeaGate Convention Centre","2,850","General"
"Thursday, October 27, 2016","Geneva","OH","Track and Field Building, SPIRE Institute","5,000","General"
"Friday, October 28, 2016","Manchester","NH","Radisson Hotel Manchester Downtown","","General"
"Friday, October 28, 2016","Lisbon","ME","Open Door Christian Academy","1,200","General"
"Friday, October 28, 2016","Cedar Rapids","IA","McGrath Amphitheatre","5,000","General"
"Saturday, October 29, 2016","Golden","CO","Jefferson County Events Center","[338][339]","General"
"Saturday, October 29, 2016","Phoenix","AZ","Phoenix Convention Center","8,000","General"
"Sunday, October 30, 2016","Las Vegas","NV","The Venetian Las Vegas","8,400","General"
"Sunday, October 30, 2016","Greeley","CO","Bank of Colorado Arena, University of Northern Colorado","3,000+","General"
"Sunday, October 30, 2016","Albuquerque","NM","Atlantic Aviation ABQ, Albuquerque International Sunport","4,000","General"
"Monday, October 31, 2016","Grand Rapids","MI","DeltaPlex Arena","6,500","General"
"Monday, October 31, 2016","Warren","MI","Sports & Expo Center, Macomb Community College South Campus","5,000","General"
"Tuesday, November 1, 2016","Eau Claire","WI","W.L. Zorn Arena","3,000","General"
"Wednesday, November 2, 2016","Orlando","FL","CFE Arena, Central Florida Fairgrounds","10,000","General"
"Wednesday, November 2, 2016","Pensacola","FL","Maritime Park's Hunter Amphitheater","6-8,000
10,000[347]","General"
"Wednesday, November 2, 2016","Miami","FL","Bayfront Park","2,600","General"
"Thursday, November 3, 2016","Jacksonville","FL","Jacksonville Equestrian Center","4,000","General"
"Thursday, November 3, 2016","Concord","NC","Cabarrus Arena & Events Center","4,200","General"
"Thursday, November 3, 2016","Selma","NC","The Farm","15,000","General"
"Friday, November 4, 2016","Atkinson","NH","Atkinson Country Club","1,000","General"
"Friday, November 4, 2016","Wilmington","OH","Airborne Maintenance & Engineering Services, Inc","3,000","General"
"Friday, November 4, 2016","Hershey","PA","Giant Center","13,000","General"
"Saturday, November 5, 2016","Tampa","FL","Florida State Fairgrounds","5,000
20,000[347]","General"
"Saturday, November 5, 2016","Wilmington","NC","Wilmington International Airport","5,000","General"
"Saturday, November 5, 2016","Reno","NV","Reno-Sparks Convention Center","8,000","General"
"Saturday, November 5, 2016","Denver","CO","National Western Complex","8,000","General"
"Sunday, November 6, 2016","Sioux City","IA","Sioux City Convention Center","4,300
4,500 [347]","General"
"Sunday, November 6, 2016","Minneapolis","MN","Sun Country Airlines","9,000
20,000[347]","General"
